id,scientificName,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship
5467,Equisetum fluviatile Linnaeus,Equisetaceae,Equisetum,fluviatile,,species,Linnaeus
5466,Equisetum arvense Linnaeus,Equisetaceae,Equisetum,arvense,,species,Linnaeus
5472,Equisetum pratense Ehrhart,Equisetaceae,Equisetum,pratense,,species,Ehrhart
5471,Equisetum palustre Linnaeus,Equisetaceae,Equisetum,palustre,,species,Linnaeus
5474,Equisetum sylvaticum Linnaeus,Equisetaceae,Equisetum,sylvaticum,,species,Linnaeus
5482,Equisetum ×litorale Kühlewein ex Ruprecht,Equisetaceae,Equisetum,×litorale,,species,Kühlewein ex Ruprecht
21973,Equisetum braunii J. Milde,Equisetaceae,Equisetum,braunii,,species,J. Milde
32622,Equisetum braunii × Equisetum palustre,Equisetaceae,Equisetum,braunii × Equisetum palustre,,species,
5473,Equisetum scirpoides Michaux,Equisetaceae,Equisetum,scirpoides,,species,Michaux
5478,Equisetum variegatum Schleicher ex F. Weber & D. Mohr,Equisetaceae,Equisetum,variegatum,,species,Schleicher ex F. Weber & D. Mohr
5470,Equisetum laevigatum A. Braun,Equisetaceae,Equisetum,laevigatum,,species,A. Braun
5480,Equisetum ×ferrissii Clute,Equisetaceae,Equisetum,×ferrissii,,species,Clute
5468,Equisetum hyemale subsp. affine (Engelmann) Calder & Roy L. Taylor,Equisetaceae,Equisetum,hyemale,affine,subspecies,(Engelmann) Calder & Roy L. Taylor
32627,Equisetum ×jesupii (A.A. Eaton) Christenhusz & Husby,Equisetaceae,Equisetum,×jesupii,,species,(A.A. Eaton) Christenhusz & Husby
6214,Isoetes bolanderi Engelmann,Isoetaceae,Isoetes,bolanderi,,species,Engelmann
22088,Isoetes echinospora subsp. muricata (Durieu) Á. Löve & D. Löve,Isoetaceae,Isoetes,echinospora,muricata,subspecies,(Durieu) Á. Löve & D. Löve
6217,Isoetes howellii Engelmann,Isoetaceae,Isoetes,howellii,,species,Engelmann
6219,Isoetes maritima Underwood,Isoetaceae,Isoetes,maritima,,species,Underwood
6221,Isoetes nuttallii A. Braun ex Engelmann,Isoetaceae,Isoetes,nuttallii,,species,A. Braun ex Engelmann
6222,Isoetes occidentalis L.F. Henderson,Isoetaceae,Isoetes,occidentalis,,species,L.F. Henderson
6233,Isoetes ×pseudotruncata D.M. Britton & D.F. Brunton,Isoetaceae,Isoetes,×pseudotruncata,,species,D.M. Britton & D.F. Brunton
6234,Isoetes ×truncata (A.A. Eaton) Clute,Isoetaceae,Isoetes,×truncata,,species,(A.A. Eaton) Clute
31551,Isoetes ×marensis D.M. Britton & D.F. Brunton,Isoetaceae,Isoetes,×marensis,,species,D.M. Britton & D.F. Brunton
6220,Isoetes minima A.A. Eaton,Isoetaceae,Isoetes,minima,,species,A.A. Eaton
6586,Huperzia miyoshiana (Makino) Ching,Lycopodiaceae,Huperzia,miyoshiana,,species,(Makino) Ching
6587,Huperzia occidentalis (Clute) Kartesz & Gandhi,Lycopodiaceae,Huperzia,occidentalis,,species,(Clute) Kartesz & Gandhi
6588,Huperzia selago (Linnaeus) Bernhardi ex Schrank & Martius,Lycopodiaceae,Huperzia,selago,,species,(Linnaeus) Bernhardi ex Schrank & Martius
30495,"Huperzia continentalis Testo, A. Haines & A.V. Gilman",Lycopodiaceae,Huperzia,continentalis,,species,"Testo, A. Haines & A.V. Gilman"
30496,Huperzia continentalis × Huperzia occidentalis,Lycopodiaceae,Huperzia,continentalis × Huperzia occidentalis,,species,
30497,Huperzia continentalis × Huperzia selago,Lycopodiaceae,Huperzia,continentalis × Huperzia selago,,species,
6593,Lycopodiella inundata (Linnaeus) Holub,Lycopodiaceae,Lycopodiella,inundata,,species,(Linnaeus) Holub
6574,Diphasiastrum alpinum (Linnaeus) Holub,Lycopodiaceae,Diphasiastrum,alpinum,,species,(Linnaeus) Holub
6575,Diphasiastrum complanatum (Linnaeus) Holub,Lycopodiaceae,Diphasiastrum,complanatum,,species,(Linnaeus) Holub
6577,Diphasiastrum sitchense (Ruprecht) Holub,Lycopodiaceae,Diphasiastrum,sitchense,,species,(Ruprecht) Holub
6595,Lycopodium clavatum Linnaeus,Lycopodiaceae,Lycopodium,clavatum,,species,Linnaeus
6598,Lycopodium lagopus (Laestadius ex C. Hartman) G. Zinserling ex Kuzeneva,Lycopodiaceae,Lycopodium,lagopus,,species,(Laestadius ex C. Hartman) G. Zinserling ex Kuzeneva
23526,Dendrolycopodium dendroideum (Michaux) A. Haines,Lycopodiaceae,Dendrolycopodium,dendroideum,,species,(Michaux) A. Haines
32363,Spinulum annotinum (Linnaeus) A. Haines subsp. annotinum,Lycopodiaceae,Spinulum,annotinum,annotinum,subspecies,(Linnaeus) A. Haines
34216,"Spinulum annotinum subsp. dubium (Zoëga) J.H. Xue, Chepinoga & K.P. Ma",Lycopodiaceae,Spinulum,annotinum,dubium,subspecies,"(Zoëga) J.H. Xue, Chepinoga & K.P. Ma"
9337,Selaginella selaginoides (Linnaeus) P. Beauvois ex Schrank & Martius,Selaginellaceae,Selaginella,selaginoides,,species,(Linnaeus) P. Beauvois ex Schrank & Martius
9332,Selaginella densa Rydberg,Selaginellaceae,Selaginella,densa,,species,Rydberg
9334,Selaginella oregana D.C. Eaton,Selaginellaceae,Selaginella,oregana,,species,D.C. Eaton
9335,Selaginella rupestris (Linnaeus) Spring,Selaginellaceae,Selaginella,rupestris,,species,(Linnaeus) Spring
9336,Selaginella scopulorum Maxon,Selaginellaceae,Selaginella,scopulorum,,species,Maxon
9338,Selaginella sibirica (Milde) Hieronymus,Selaginellaceae,Selaginella,sibirica,,species,(Milde) Hieronymus
9339,Selaginella standleyi Maxon,Selaginellaceae,Selaginella,standleyi,,species,Maxon
9340,Selaginella wallacei Hieronymus,Selaginellaceae,Selaginella,wallacei,,species,Hieronymus
2619,Osmorhiza berteroi de Candolle,Apiaceae,Osmorhiza,berteroi,,species,de Candolle
2621,Osmorhiza depauperata Philippi,Apiaceae,Osmorhiza,depauperata,,species,Philippi
2623,Osmorhiza occidentalis (Nuttall ex Torrey & A. Gray) Torrey,Apiaceae,Osmorhiza,occidentalis,,species,(Nuttall ex Torrey & A. Gray) Torrey
2624,Osmorhiza purpurea (J.M. Coulter & Rose) Suksdorf,Apiaceae,Osmorhiza,purpurea,,species,(J.M. Coulter & Rose) Suksdorf
2572,Daucus pusillus Michaux,Apiaceae,Daucus,pusillus,,species,Michaux
2655,Yabea microcarpa (Hooker & Arnott) Koso-Poljansky,Apiaceae,Yabea,microcarpa,,species,(Hooker & Arnott) Koso-Poljansky
2583,Heracleum maximum W. Bartram,Apiaceae,Heracleum,maximum,,species,W. Bartram
2618,Oenanthe sarmentosa C. Presl ex de Candolle,Apiaceae,Oenanthe,sarmentosa,,species,C. Presl ex de Candolle
10020,Berula incisa (Torrey) G.N. Jones,Apiaceae,Berula,incisa,,species,(Torrey) G.N. Jones
2556,Cicuta bulbifera Linnaeus,Apiaceae,Cicuta,bulbifera,,species,Linnaeus
2557,Cicuta douglasii (de Candolle) J.M. Coulter & Rose,Apiaceae,Cicuta,douglasii,,species,(de Candolle) J.M. Coulter & Rose
2562,Cicuta virosa Linnaeus,Apiaceae,Cicuta,virosa,,species,Linnaeus
2558,Cicuta maculata var. angustifolia Hooker,Apiaceae,Cicuta,maculata,angustifolia,variety,Hooker
2596,Lilaeopsis occidentalis J.M. Coulter & Rose,Apiaceae,Lilaeopsis,occidentalis,,species,J.M. Coulter & Rose
9580,Oxypolis occidentalis J.M. Coulter & Rose,Apiaceae,Oxypolis,occidentalis,,species,J.M. Coulter & Rose
33311,Perideridia montana (Rydberg) Dorn,Apiaceae,Perideridia,montana,,species,(Rydberg) Dorn
2646,Sium suave Walter,Apiaceae,Sium,suave,,species,Walter
2534,Angelica arguta Nuttall,Apiaceae,Angelica,arguta,,species,Nuttall
2536,Angelica dawsonii S. Watson,Apiaceae,Angelica,dawsonii,,species,S. Watson
2537,Angelica genuflexa Nuttall,Apiaceae,Angelica,genuflexa,,species,Nuttall
2538,Angelica lucida Linnaeus,Apiaceae,Angelica,lucida,,species,Linnaeus
2563,Cnidium cnidiifolium (Turczaninow)  Schischkin,Apiaceae,Cnidium,cnidiifolium,,species,(Turczaninow)  Schischkin
10040,Glehnia leiocarpa Mathias,Apiaceae,Glehnia,leiocarpa,,species,Mathias
2597,Lomatium ambiguum (Nuttall) J.M. Coulter & Rose,Apiaceae,Lomatium,ambiguum,,species,(Nuttall) J.M. Coulter & Rose
2598,Lomatium brandegeei (J.M. Coulter & Rose) J.F. Macbride,Apiaceae,Lomatium,brandegeei,,species,(J.M. Coulter & Rose) J.F. Macbride
2605,Lomatium geyeri (S. Watson) J.M. Coulter & Rose,Apiaceae,Lomatium,geyeri,,species,(S. Watson) J.M. Coulter & Rose
2608,Lomatium macrocarpum (Hooker & Arnott) J.M. Coulter & Rose,Apiaceae,Lomatium,macrocarpum,,species,(Hooker & Arnott) J.M. Coulter & Rose
2609,Lomatium martindalei (J.M. Coulter & Rose) J.M. Coulter & Rose,Apiaceae,Lomatium,martindalei,,species,(J.M. Coulter & Rose) J.M. Coulter & Rose
2610,Lomatium nudicaule (Nuttall) J.M. Coulter & Rose,Apiaceae,Lomatium,nudicaule,,species,(Nuttall) J.M. Coulter & Rose
2612,Lomatium sandbergii (J.M. Coulter & Rose) J.M. Coulter & Rose,Apiaceae,Lomatium,sandbergii,,species,(J.M. Coulter & Rose) J.M. Coulter & Rose
2613,Lomatium simplex (Nuttall ex S. Watson) J.F. Macbride,Apiaceae,Lomatium,simplex,,species,(Nuttall ex S. Watson) J.F. Macbride
2615,Lomatium utriculatum (Nuttall ex Torrey & A. Gray) J.M. Coulter & Rose,Apiaceae,Lomatium,utriculatum,,species,(Nuttall ex Torrey & A. Gray) J.M. Coulter & Rose
2601,Lomatium dissectum (Nuttall ex Torrey & A. Gray) Mathias & Constance,Apiaceae,Lomatium,dissectum,,species,(Nuttall ex Torrey & A. Gray) Mathias & Constance
31989,Lomatium foeniculaceum (Nuttall) J.M. Coulter & Rose subsp. foeniculaceum,Apiaceae,Lomatium,foeniculaceum,foeniculaceum,subspecies,(Nuttall) J.M. Coulter & Rose
