MAP_LABEL,BGC_LABEL,ZONE,ZONE_NAME,SUBZONE,SUBZONE_NAME,VARIANT,VARIANT_NAME,PHASE,PHASE_NAME,NATURAL_DISTURBANCE,NATURAL_DISTURBANCE_NAME
BAFAun,BAFAun,BAFA,Boreal Altai Fescue Alpine,un,Undifferentiated,,,,,NDT5,Alpine Tundra and Subalpine Parkland ecosystems
BAFAunp,BAFAunp,BAFA,Boreal Altai Fescue Alpine,unp,Undifferentiated and Parkland,,,,,NDT5,Alpine Tundra and Subalpine Parkland ecosystems
BGxh1,BG  xh 1,BG,Bunchgrass,xh,Very Dry Hot,1,Okanagan,, ,NDT4,Ecosystems with frequent stand-maintaining fires
BGxh2,BG  xh 2,BG,Bunchgrass,xh,Very Dry Hot,2,Thompson,, ,NDT4,Ecosystems with frequent stand-maintaining fires
BGxh3,BG  xh 3,BG,Bunchgrass,xh,Very Dry Hot,3,Fraser,, ,NDT4,Ecosystems with frequent stand-maintaining fires
BGxw1,BG  xw 1,BG,Bunchgrass,xw,Very Dry Warm,1,Nicola,, ,NDT4,Ecosystems with frequent stand-maintaining fires
BGxw2,BG  xw 2,BG,Bunchgrass,xw,Very Dry Warm,2,Alkali,, ,NDT4,Ecosystems with frequent stand-maintaining fires
BWBSdk,BWBSdk,BWBS,Boreal White and Black Spruce,dk,Dry Cool,,,,,NDT3,Ecosystems with frequent stand-initiating events
BWBSmk,BWBSmk,BWBS,Boreal White and Black Spruce,mk,Moist Cool,,,,,NDT3,Ecosystems with frequent stand-initiating events
BWBSmw,BWBSmw,BWBS,Boreal White and Black Spruce,mw,Moist Warm,,,,,NDT3,Ecosystems with frequent stand-initiating events
BWBSvk,BWBSvk,BWBS,Boreal White and Black Spruce,vk,Very Wet Cool,, ,, ,NDT3,Ecosystems with frequent stand-initiating events
BWBSwk1,BWBSwk 1,BWBS,Boreal White and Black Spruce,wk,Wet Cool,1,Murray,, ,NDT3,Ecosystems with frequent stand-initiating events
BWBSwk2,BWBSwk 2,BWBS,Boreal White and Black Spruce,wk,Wet Cool,2,Graham,, ,NDT3,Ecosystems with frequent stand-initiating events
BWBSwk3,BWBSwk 3,BWBS,Boreal White and Black Spruce,wk,Wet Cool,3,Kledo,, ,NDT3,Ecosystems with frequent stand-initiating events
CDFmm,CDF mm,CDF,Coastal Douglas-fir,mm,Moist Maritime,, ,, ,NDT2,Ecosystems with infrequent stand-initiating events
CMAun,CMA un,CMA,Coastal Mountain-heather Alpine,un,Undifferentiated,,,,,NDT5,Alpine Tundra and Subalpine Parkland ecosystems
CMAunp,CMA unp,CMA,Coastal Mountain-heather Alpine,unp,Undifferentiated and Parkland,,,,,NDT5,Alpine Tundra and Subalpine Parkland ecosystems
CMAwh,CMA wh,CMA,Coastal Mountain-heather Alpine,wh,Wet Hypermaritime,,,,,NDT5,Alpine Tundra and Subalpine Parkland ecosystems
CWHdm,CWH dm,CWH,Coastal Western Hemlock,dm,Dry Maritime,, ,, ,NDT2,Ecosystems with infrequent stand-initiating events
CWHds1,CWH ds 1,CWH,Coastal Western Hemlock,ds,Dry Submaritime,1,Southern,, ,NDT2,Ecosystems with infrequent stand-initiating events
CWHds2,CWH ds 2,CWH,Coastal Western Hemlock,ds,Dry Submaritime,2,Central,, ,NDT2,Ecosystems with infrequent stand-initiating events
CWHmm1,CWH mm 1,CWH,Coastal Western Hemlock,mm,Moist Maritime,1,Submontane,, ,NDT2,Ecosystems with infrequent stand-initiating events
CWHmm2,CWH mm 2,CWH,Coastal Western Hemlock,mm,Moist Maritime,2,Montane,, ,NDT2,Ecosystems with infrequent stand-initiating events
CWHms1,CWH ms 1,CWH,Coastal Western Hemlock,ms,Moist Submaritime,1,Southern,, ,NDT2,Ecosystems with infrequent stand-initiating events
CWHms2,CWH ms 2,CWH,Coastal Western Hemlock,ms,Moist Submaritime,2,Central,, ,NDT2,Ecosystems with infrequent stand-initiating events
CWHvh1,CWH vh 1,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,1,Southern,, ,NDT1,Ecosystems with rare stand-initiating events
CWHvh2,CWH vh 2,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,2,Central,, ,NDT1,Ecosystems with rare stand-initiating events
CWHvh3,CWH vh 3,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,3,Haida Gwaii,,,NDT1,Ecosystems with rare stand-initiating events
CWHvm1,CWH vm 1,CWH,Coastal Western Hemlock,vm,Very Wet Maritime,1,Submontane,, ,NDT1,Ecosystems with rare stand-initiating events
CWHvm2,CWH vm 2,CWH,Coastal Western Hemlock,vm,Very Wet Maritime,2,Montane,, ,NDT1,Ecosystems with rare stand-initiating events
CWHwh1,CWH wh 1,CWH,Coastal Western Hemlock,wh,Wet Hypermaritime,1,Submontane,, ,NDT1,Ecosystems with rare stand-initiating events
CWHwh2,CWH wh 2,CWH,Coastal Western Hemlock,wh,Wet Hypermaritime,2,Montane,, ,NDT1,Ecosystems with rare stand-initiating events
CWHwm,CWH wm,CWH,Coastal Western Hemlock,wm,Wet Maritime,, ,, ,NDT1,Ecosystems with rare stand-initiating events
CWHws1,CWH ws 1,CWH,Coastal Western Hemlock,ws,Wet Submaritime,1,Submontane,, ,NDT2,Ecosystems with infrequent stand-initiating events
CWHws2,CWH ws 2,CWH,Coastal Western Hemlock,ws,Wet Submaritime,2,Montane,, ,NDT2,Ecosystems with infrequent stand-initiating events
CWHxm1,CWH xm 1,CWH,Coastal Western Hemlock,xm,Very Dry Maritime,1,Eastern,, ,NDT2,Ecosystems with infrequent stand-initiating events
CWHxm2,CWH xm 2,CWH,Coastal Western Hemlock,xm,Very Dry Maritime,2,Western,, ,NDT2,Ecosystems with infrequent stand-initiating events
ESSFdc1,ESSFdc 1,ESSF,Engelmann Spruce -- Subalpine Fir,dc,Dry Cold,1,Monashee,, ,NDT2,Ecosystems with infrequent stand-initiating events
ESSFdc2,ESSFdc 2,ESSF,Engelmann Spruce -- Subalpine Fir,dc,Dry Cold,2,Cascade,, ,NDT3,Ecosystems with frequent stand-initiating events
ESSFdc3,ESSFdc 3,ESSF,Engelmann Spruce -- Subalpine Fir,dc,Dry Cold,3,North Thompson,,,NDT3,Ecosystems with frequent stand-initiating events
ESSFdcp,ESSFdcp,ESSF,Engelmann Spruce -- Subalpine Fir,dcp,Dry Cold Parkland,, ,, ,NDT5,Alpine Tundra and Subalpine Parkland ecosystems
ESSFdcw,ESSFdcw,ESSF,Engelmann Spruce -- Subalpine Fir,dcw,Dry Cold Woodland,, ,, ,NDT2,Ecosystems with infrequent stand-initiating events
ESSFdh1,ESSFdh 1,ESSF,Engelmann Spruce -- Subalpine Fir,dh,Dry Hot,1,Cascade,,,NDT3,Ecosystems with frequent stand-initiating events
ESSFdh2,ESSFdh 2,ESSF,Engelmann Spruce -- Subalpine Fir,dh,Dry Hot,2,Stein,,,NDT3,Ecosystems with frequent stand-initiating events
ESSFdk1,ESSFdk 1,ESSF,Engelmann Spruce -- Subalpine Fir,dk,Dry Cool,1,Elk,, ,NDT3,Ecosystems with frequent stand-initiating events
ESSFdk2,ESSFdk 2,ESSF,Engelmann Spruce -- Subalpine Fir,dk,Dry Cool,2,Columbia,, ,NDT3,Ecosystems with frequent stand-initiating events
ESSFdkp,ESSFdkp,ESSF,Engelmann Spruce -- Subalpine Fir,dkp,Dry Cool Parkland,, ,, ,NDT5,Alpine Tundra and Subalpine Parkland ecosystems
ESSFdkw,ESSFdkw,ESSF,Engelmann Spruce -- Subalpine Fir,dkw,Dry Cool Woodland,, ,, ,NDT3,Ecosystems with frequent stand-initiating events
ESSFdv1,ESSFdv 1,ESSF,Engelmann Spruce -- Subalpine Fir,dv,Dry Very Cold,1,Cayoosh,,,NDT3,Ecosystems with frequent stand-initiating events
ESSFdv2,ESSFdv 2,ESSF,Engelmann Spruce -- Subalpine Fir,dv,Dry Very Cold,2,Tyaughton,,,NDT3,Ecosystems with frequent stand-initiating events
ESSFdvp,ESSFdvp,ESSF,Engelmann Spruce -- Subalpine Fir,dvp,Dry Very Cold Parkland,, ,, ,NDT5,Alpine Tundra and Subalpine Parkland ecosystems
