FamilyEx,Genus,Species,AccessionList
Anacardiaceae,Toxicodendron,rydbergii,1973-0497; 1974-1117; 1975-0171; 1975-0790
Apiaceae,Daucus,carota,1975-0771; 1980-0105; 2004-0262; 2005-0192
Apiaceae,Lomatium,grayi,2017-0317; 2018-0722
Apiaceae,Lomatium,triternatum,1985-0073; 2013-0442
Apiaceae,Osmorhiza,chilensis,1975-0219; 1975-0843
Aquifoliaceae,Ilex,aquifolium,1974-0314; 1975-0707; 1976-0046
Asparagaceae,Maianthemum,racemosum,1975-0176; 1995-0231; 1995-0238; 2003-0315; 2006-0200; 2006-0201; 2006-0396; 2015-0464; 2021-0774
Asteraceae,Chrysothamnus,nauseosus,1974-1148; 1995-0820
Asteraceae,Sinosenecio,newcombei,2007-0446
Asteraceae subfam. Asteroideae,Achillea,millefolium,1977-0776; 1978-0400; 1978-0851; 1978-0918; 1996-0093; 1998-0498; 1999-0154; 2001-0323; 2008-0293; 2009-0241; 2010-0560; 2017-0018
Asteraceae subfam. Asteroideae,Grindelia,integrifolia,1971-0081; 1975-0364; 1975-0592; 1976-0407; 1977-0260; 1992-0067; 1995-0424; 2007-0097; 2022-0238
Asteraceae subfam. Asteroideae,Helianthus,annuus,1996-0176; 2018-0229; 2019-0456; 2020-0200; 2024-0549
Asteraceae subfam. Asteroideae,Inula,helenium,1979-0299; 1997-0112; 2008-0211
Asteraceae subfam. Asteroideae,Madia,sativa,1995-0429
Asteraceae subfam. Asteroideae,Matricaria,chamomilla,1978-0418; 1997-0172; 2015-0155; 2017-0083; 2024-0652
Asteraceae subfam. Asteroideae,Mycelis,muralis,1990-0100
Asteraceae subfam. Asteroideae,Petasites,japonicus,1976-0286; 1977-0436; 2012-0150; 2024-0146
Asteraceae subfam. Asteroideae,Rudbeckia,laciniata,2018-0822
Asteraceae subfam. Asteroideae,Senecio,canus,1975-0344; 1977-0556
Asteraceae subfam. Asteroideae,Senecio,sylvaticus,1979-0491
Asteraceae subfam. Asteroideae,Solidago,simplex,1992-0076; 2019-0911
Asteraceae subfam. Asteroideae,Tanacetum,parthenium,1978-0279; 1989-0329; 1998-0503; 2001-0317; 2013-0226; 2020-0522; 2023-0309
Asteraceae subfam. Carduoideae,Arctium,minus,1996-0105
Asteraceae subfam. Carduoideae,Cirsium,arvense,2016-0103
Asteraceae subfam. Carduoideae,Silybum,marianum,1989-0097; 1997-0113
Athyriaceae,Athyrium,distentifolium,1975-0607; 2020-0369
Athyriaceae,Athyrium,filix-femina,1975-0402; 1976-0048; 2003-0314; 2007-0057
Berberidaceae,Berberis,aquifolium,1973-0675; 1974-0318; 1974-0497; 1975-0818; 1976-0582; 1982-0771; 1990-0583; 1994-0449; 2003-0289; 2004-0055; 2004-0056; 2004-0057; 2004-0058; 2004-0059; 2007-0068; 2010-0165; 2013-0314; 2020-0573
Berberidaceae,Berberis,vulgaris,1989-0338
Betulaceae,Alnus,viridis,1973-0311; 1974-0424; 1975-0760; 1994-0004; 2004-0085
Boraginaceae,Echium,vulgare,1974-1123; 1999-0173; 2001-0325; 2019-1155
Boraginaceae,Myosotis,alpestris,1973-0080; 1977-0311; 1978-0263; 1978-0333; 1979-0721; 1980-0057; 1982-0759; 1986-0309
